Time,PID,Tickets,Pass,Stride,Runtime
13790,5,1,0,1024,1380
13790,4,8,0,128,1413
13790,6,2,0,512,1380
13790,7,4,0,256,1379
13790,8,8,0,128,1379
13790,9,16,0,64,1379
13790,10,32,0,32,1379
13790,11,32,0,32,1379
13790,12,32,0,32,1379
13790,13,32,0,32,1379
13790,14,32,0,32,1379
14620,1,8,0,128,23
14620,2,8,0,128,19
14620,5,1,0,1024,1463
14620,4,8,0,128,1496
14620,6,2,0,512,1463
14620,7,4,0,256,1462
14620,8,8,0,128,1462
14620,9,16,0,64,1462
14620,10,32,0,32,1462
14620,11,32,0,32,1462
14620,12,32,0,32,1462
14620,13,32,0,32,1462
14620,14,32,0,32,1462
15480,1,8,0,128,23
15480,2,8,0,128,19
15480,5,1,0,1024,1549
15480,4,8,0,128,1582
15480,6,2,0,512,1549
15480,7,4,0,256,1548
15480,8,8,0,128,1548
15480,9,16,0,64,1548
15480,10,32,0,32,1548
15480,11,32,0,32,1548
15480,12,32,0,32,1548
15480,13,32,0,32,1548
15480,14,32,0,32,1548
16310,1,8,0,128,23
16310,2,8,0,128,19
16310,5,1,0,1024,1632
16310,4,8,0,128,1665
16310,6,2,0,512,1632
16310,7,4,0,256,1631
16310,8,8,0,128,1631
16310,9,16,0,64,1631
16310,10,32,0,32,1631
16310,11,32,0,32,1631
16310,12,32,0,32,1631
16310,13,32,0,32,1631
16310,14,32,0,32,1631
17190,1,8,0,128,23
17190,2,8,0,128,19
17190,5,1,0,1024,1720
17190,4,8,0,128,1753
17190,6,2,0,512,1720
17190,7,4,0,256,1719
17190,8,8,0,128,1719
17190,9,16,0,64,1719
17190,10,32,0,32,1719
17190,11,32,0,32,1719
17190,12,32,0,32,1719
17190,13,32,0,32,1719
17190,14,32,0,32,1719
17190,15,8,0,128,0
17190,16,8,0,128,0
17190,17,8,0,128,0
17190,18,8,0,128,0
17190,19,8,0,128,0
17190,20,8,0,128,0
19095,1,8,0,128,23
19095,2,8,0,128,19
19095,5,1,0,1024,1839
19095,4,8,0,128,1872
19095,6,2,0,512,1839
19095,7,4,0,256,1838
19095,8,8,0,128,1838
19095,9,16,0,64,1838
19095,10,32,0,32,1838
19095,11,32,0,32,1838
19095,12,32,0,32,1838
19095,13,32,0,32,1838
19095,14,32,0,32,1838
19095,15,32,0,32,119
19095,16,32,0,32,119
19095,17,8,0,128,119
19095,18,2,0,512,119
19095,19,8,0,128,119
19095,20,8,0,128,119
21063,1,8,0,128,23
21063,2,8,0,128,19
21063,5,1,0,1024,1962
21063,4,8,0,128,1995
21063,6,2,0,512,1962
21063,7,4,0,256,1961
21063,8,8,0,128,1961
21063,9,16,0,64,1961
21063,10,32,0,32,1961
21063,11,32,0,32,1961
21063,12,32,0,32,1961
21063,13,32,0,32,1961
21063,14,32,0,32,1961
21063,15,32,0,32,242
21063,16,32,0,32,242
21063,17,8,0,128,242
21063,18,2,0,512,242
21063,19,8,0,128,242
21063,20,8,0,128,242
23095,1,8,0,128,23
23095,2,8,0,128,19
23095,5,1,0,1024,2089
23095,4,8,0,128,2122
23095,6,2,0,512,2089
23095,7,4,0,256,2088
23095,8,8,0,128,2088
23095,9,16,0,64,2088
23095,10,32,0,32,2088
23095,11,32,0,32,2088
23095,12,32,0,32,2088
23095,13,32,0,32,2088
23095,14,32,0,32,2088
23095,15,32,0,32,369
23095,16,32,0,32,369
23095,17,8,0,128,369
23095,18,2,0,512,369
23095,19,8,0,128,369
23095,20,8,0,128,369
25095,1,8,0,128,23
25095,2,8,0,128,19
25095,5,1,0,1024,2214
25095,4,8,0,128,2247
25095,6,2,0,512,2214
25095,7,4,0,256,2213
25095,8,8,0,128,2213
25095,9,16,0,64,2213
25095,10,32,0,32,2213
25095,11,32,0,32,2213
25095,12,32,0,32,2213
25095,13,32,0,32,2213
25095,14,32,0,32,2213
25095,15,32,0,32,494
25095,16,32,0,32,494
25095,17,8,0,128,494
25095,18,2,0,512,494
25095,19,8,0,128,494
25095,20,8,0,128,494
27095,1,8,0,128,23
27095,2,8,0,128,19
27095,5,1,0,1024,2339
27095,4,8,0,128,2372
27095,6,2,0,512,2339
27095,7,4,0,256,2338
27095,8,8,0,128,2338
27095,9,16,0,64,2338
27095,10,32,0,32,2338
27095,11,32,0,32,2338
27095,12,32,0,32,2338
27095,13,32,0,32,2338
27095,14,32,0,32,2338
27095,15,32,0,32,619
27095,16,32,0,32,619
27095,17,8,0,128,619
27095,18,2,0,512,619
27095,19,8,0,128,619
27095,20,8,0,128,619
28983,1,8,0,128,23
28983,2,8,0,128,19
28983,5,1,0,1024,2457
28983,4,8,0,128,2490
28983,6,2,0,512,2457
